Time (s),I_meas (mA)
7.86,33.06239296759497
7.87,33.06239296759497
7.88,33.06239296759497
7.890000000000001,31.38388498425653
7.9,31.38388498425653
7.91,33.06239296759497
7.92,33.06239296759497
7.930000000000001,33.06239296759497
7.94,33.06239296759497
7.95,33.06239296759497
7.96,33.06239296759497
7.97,33.06239296759497
7.98,33.06239296759497
7.99,33.06239296759497
8,33.06239296759497
8.01,33.06239296759497
8.02,33.06239296759497
8.029999999999999,33.06239296759497
8.040000000000001,31.38388498425653
8.050000000000001,31.38388498425653
8.06,31.38388498425653
8.07,33.06239296759497
8.08,33.06239296759497
8.09,33.06239296759497
8.1,33.06239296759497
8.109999999999999,33.06239296759497
8.120000000000001,33.06239296759497
8.130000000000001,33.06239296759497
8.140000000000001,33.06239296759497
8.15,33.06239296759497
8.16,33.06239296759497
8.17,33.06239296759497
8.18,33.06239296759497
8.19,33.06239296759497
8.199999999999999,33.06239296759497
8.210000000000001,33.06239296759497
8.220000000000001,33.06239296759497
8.23,33.06239296759497
8.24,33.06239296759497
8.25,33.06239296759497
8.26,33.06239296759497
8.27,33.06239296759497
8.279999999999999,33.06239296759497
8.290000000000001,33.06239296759497
8.300000000000001,33.06239296759497
8.31,33.06239296759497
8.32,33.06239296759497
8.33,33.06239296759497
8.34,33.06239296759497
8.35,33.06239296759497
8.359999999999999,33.06239296759497
8.370000000000001,33.06239296759497
8.380000000000001,33.06239296759497
8.390000000000001,33.06239296759497
8.4,33.06239296759497
8.41,33.06239296759497
8.42,33.06239296759497
8.43,33.06239296759497
8.44,33.06239296759497
8.449999999999999,33.06239296759497
8.460000000000001,33.06239296759497
8.470000000000001,33.06239296759497
8.48,33.06239296759497
8.49,33.06239296759497
8.5,33.06239296759497
8.51,33.06239296759497
8.52,33.06239296759497
8.529999999999999,33.06239296759497
8.540000000000001,33.06239296759497
8.550000000000001,34.7409009509334
8.56,41.45493288428715
8.57,41.45493288428715
8.58,41.45493288428715
8.59,41.45493288428715
8.6,41.45493288428715
8.609999999999999,41.45493288428715
8.620000000000001,41.45493288428715
8.630000000000001,41.45493288428715
8.640000000000001,41.45493288428715
8.65,41.45493288428715
8.66,41.45493288428715
8.67,41.45493288428715
8.68,41.45493288428715
8.69,41.45493288428715
8.700000000000001,41.45493288428715
8.710000000000001,41.45493288428715
8.720000000000001,41.45493288428715
8.73,41.45493288428715
8.74,41.45493288428715
8.75,41.45493288428715
8.76,41.45493288428715
8.77,41.45493288428715
8.779999999999999,41.45493288428715
8.790000000000001,41.45493288428715
8.800000000000001,41.45493288428715
8.81,41.45493288428715
8.82,41.45493288428715
8.83,41.45493288428715
8.84,41.45493288428715
8.85,41.45493288428715
8.859999999999999,41.45493288428715
8.870000000000001,41.45493288428715
8.880000000000001,41.45493288428715
8.890000000000001,41.45493288428715
8.9,41.45493288428715
8.91,41.45493288428715
8.92,41.45493288428715
8.93,41.45493288428715
8.94,41.45493288428715
8.950000000000001,41.45493288428715
8.960000000000001,41.45493288428715
8.970000000000001,41.45493288428715
8.98,41.45493288428715
8.99,41.45493288428715
9,41.45493288428715
9.01,41.45493288428715
9.02,41.45493288428715
9.029999999999999,41.45493288428715
9.040000000000001,41.45493288428715
9.050000000000001,41.45493288428715
9.06,41.45493288428715
9.07,41.45493288428715
9.08,41.45493288428715
9.09,41.45493288428715
9.1,41.45493288428715
9.109999999999999,41.45493288428715
9.120000000000001,41.45493288428715
9.130000000000001,41.45493288428715
9.140000000000001,41.45493288428715
9.15,41.45493288428715
9.16,41.45493288428715
9.17,41.45493288428715
9.18,41.45493288428715
9.19,41.45493288428715
9.200000000000001,41.45493288428715
9.210000000000001,41.45493288428715
9.220000000000001,41.45493288428715
9.23,41.45493288428715
9.24,41.45493288428715
9.25,41.45493288428715
9.26,41.45493288428715
9.27,41.45493288428715
9.279999999999999,41.45493288428715
9.290000000000001,41.45493288428715
9.300000000000001,41.45493288428715
9.31,41.45493288428715
9.32,41.45493288428715
9.33,41.45493288428715
9.34,41.45493288428715
9.35,41.45493288428715
9.359999999999999,41.45493288428715
9.370000000000001,41.45493288428715
9.380000000000001,41.45493288428715
9.390000000000001,41.45493288428715
9.4,41.45493288428715
9.41,41.45493288428715
9.42,41.45493288428715
9.43,41.45493288428715
9.44,41.45493288428715
9.450000000000001,41.45493288428715
9.460000000000001,41.45493288428715
9.470000000000001,41.45493288428715
9.48,41.45493288428715
